CC(C)Cc1ccc([C@H](C)C(=O)O)cc1	ZINC000000002647
O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12	ZINC000000002688
CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3	ZINC000000003642
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	ZINC000000003876
C[C@H](CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1	ZINC000000003911
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	ZINC000000004009
CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1	ZINC000000004028
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1	ZINC000000004076
CC(C)NC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1	ZINC000000004166
C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1	ZINC000000004319
NS(=O)(=O)Cc1noc2ccccc12	ZINC000000004321
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1	ZINC000000004351
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1	ZINC000000004413
Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O	ZINC000000004448
NC(=O)N1c2ccccc2CC(=O)c2ccccc21	ZINC000000004724
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	ZINC000000004778
NC(=O)N1c2ccccc2C=Cc2ccccc21	ZINC000000004785
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1	ZINC000000004840
CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1	ZINC000000004893
NCC1(CC(=O)O)CCCCC1	ZINC000000004949
CCCN(CCc1cccs1)[C@@H]1CCc2c(O)cccc2C1	ZINC000000005151
CC(C)C[C@H](CN)CC(=O)O	ZINC000000005152
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O	ZINC000000005423
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1	ZINC000000005560
Cc1cccc(Nc2ccncc2S(=O)(=O)/N=C(\O)NC(C)C)c1	ZINC000000005823
NC(=O)c1cccnc1	ZINC000000005878
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12	ZINC000000005895
COc1ccc([C@@H](CN(C)C)C2(O)CCCCC2)cc1	ZINC000000006016
NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1	ZINC000000006156
NC1=NC[C@@H]2c3ccccc3Cc3ccccc3N12	ZINC000000006157
Cc1c(O)c(=O)ccn1C	ZINC000000006226
C=C1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1	ZINC000000006251
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1	ZINC000000006300
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1	ZINC000000006310
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	ZINC000000006427
Nc1nc2ccc(OC(F)(F)F)cc2s1	ZINC000000006481
CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21	ZINC000000007295
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1	ZINC000000007601
COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1	ZINC000000007673
NC(=O)c1cn(Cc2c(F)cccc2F)nn1	ZINC000000007782
Oc1cccc2cccnc12	ZINC000000008492
C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1	ZINC000000008667
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3	ZINC000000009073
CN(C)C[C@H](c1ccc(O)cc1)C1(O)CCCCC1	ZINC000000009342
CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1	ZINC000000009689
C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1	ZINC000000010163
C[C@H]1O[C@@]2(CS1)CN1CCC2CC1	ZINC000000010164
O=C(c1ccccc1)c1ccc2n1CC[C@@H]2C(=O)O	ZINC000000011012
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1	ZINC000000012346
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1	ZINC000000013156
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1	ZINC000000014007
CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN	ZINC000000014037
CN1C(=O)C[C@](C)(c2ccccc2)C1=O	ZINC000000014257
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1	ZINC000000014360
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F	ZINC000000014864
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12	ZINC000000015515
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N	ZINC000000016154
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	ZINC000000018087
CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1	ZINC000000018635
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	ZINC000000020220
COc1ccc2cc(CCC(C)=O)ccc2c1	ZINC000000020221
C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1	ZINC000000020228
CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1	ZINC000000020230
Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1	ZINC000000020231
CCN(CC)CC(=O)Nc1c(C)cccc1C	ZINC000000020237
CC(C)NC[C@@H](O)COc1cccc2ccccc12	ZINC000000020240
Cc1cccc(Nc2ccccc2C(=O)O)c1C	ZINC000000020241
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O	ZINC000000020243
CN(C)CCOC(c1ccccc1)c1ccccc1	ZINC000000020244
CN(C)CCCN1c2ccccc2CCc2ccccc21	ZINC000000020245
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21	ZINC000000020248
C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C	ZINC000000020250
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1	ZINC000000020251
NS(=O)(=O)c1cc([C@]2(O)NC(=O)c3ccccc32)ccc1Cl	ZINC000000020253
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O	ZINC000000020255
Cc1cccc(C)c1OC[C@@H](C)N	ZINC000000020257
CN[C@@H](C)[C@@H](O)c1ccccc1	ZINC000000020259
CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C	ZINC000000020783
CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1	ZINC000000025958
NCCc1ccc(O)c(O)c1	ZINC000000033882
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1	ZINC000000034157
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl	ZINC000000035804
CNC[C@H](O)c1ccc(O)c(O)c1	ZINC000000039089
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	ZINC000000044027
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1	ZINC000000049153
Cc1ncc(CO)c(CO)c1O	ZINC000000049154
C/C=C/C(=O)N(CC)c1ccccc1C	ZINC000000056427
CC(C)NC[C@H](O)COc1cccc2ccccc12	ZINC000000056556
O=C(O)CCCc1ccccc1	ZINC000000056568
CC(C)NC[C@H](O)COc1cccc2[nH]ccc12	ZINC000000056645
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12	ZINC000000056646
C[C@H](CN1c2ccccc2Sc2ccccc21)N(C)C	ZINC000000056647
CC(C)NC[C@H](O)c1ccc(O)c(O)c1	ZINC000000056652
CC(C)NC[C@@H](O)c1ccc(O)c(O)c1	ZINC000000056653
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O	ZINC000000057001
Cc1cccc(C)c1OC[C@H](C)N	ZINC000000057062
Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O	ZINC000000057146
Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O	ZINC000000057147
C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1	ZINC000000057206
CN(C)CC[C@@](O)(c1ccccc1)c1ccccc1Cl	ZINC000000057253
CN(C)CC[C@](O)(c1ccccc1)c1ccccc1Cl	ZINC000000057254
NS(=O)(=O)c1cc([C@@]2(O)NC(=O)c3ccccc32)ccc1Cl	ZINC000000057255
